CID,StringWithMarkup,ExperimentalValue,Unit,Temperature,Conditions,FullReference
4,"greater than or equal to 100 mg/mL at 67.6 °F (NTP, 1992)",100,mg/mL,67.6°F,,CAMEO Chemicals | MONOISOPROPANOLAMINE | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/8864
72,Soluble,,,,,"Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 3,4-Dihydroxybenzoic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/2297/"
72,Soluble (in ethanol),,,,,"Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 3,4-Dihydroxybenzoic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/2297/"
79,Soluble in hot petroleum ether,,,,,"Hazardous Substances Data Bank (HSDB) | 3-PYRIDINECARBONITRILE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/5335"
79,"Soluble in alcohol, ether, and benzene.",,,,,"Hazardous Substances Data Bank (HSDB) | 3-PYRIDINECARBONITRILE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/5335"
79,"In water, 1.35X10+5 mg/l @ 20 °C",1.35e+5,mg/l,20°C,,"Hazardous Substances Data Bank (HSDB) | 3-PYRIDINECARBONITRILE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/5335"
86,"SLIGHTLY SOL IN WATER, SOL IN HOT WATER, ALCOHOL, ETHER; SOL IN CHLOROFORM",,,,,"Hazardous Substances Data Bank (HSDB) | 2-AMINO-3-HYDROXY-BENZOIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/4040"
96,,,,,,"DrugBank | Acetoacetic acid | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB01762"
96,1000 mg/mL at 20 °C,1000,mg/mL,20°C,,Human Metabolome Database (HMDB) | Acetoacetic acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000060
107,,,,,,"DrugBank | 3-phenylpropionic acid | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB02024"
107,5.9 mg/mL,5.9,mg/mL,,,Human Metabolome Database (HMDB) | Hydrocinnamic acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000764
107,slightly soluble in water; soluble in oils,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 3-Phenylpropionic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/179/
107,moderately soluble (in ethanol),,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 3-Phenylpropionic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/179/
109,>23 [ug/mL] (The mean of the results at pH 7.4),23,μg/mL,,,Burnham Center for Chemical Genomics | SID46500456 | Aqueous solubility in buffer at pH 7.4 | URL: https://pubchem.ncbi.nlm.nih.gov/bioassay/1996#section=Data-Table
111,20.9 mg/mL,20.9,mg/mL,,,Human Metabolome Database (HMDB) | Ureidopropionic acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000026
119,1.2 [ug/mL] (The mean of the results at pH 7.4),1.2,μg/mL,,,Burnham Center for Chemical Genomics | SID8139983 | Aqueous solubility in buffer at pH 7.4 | URL: https://pubchem.ncbi.nlm.nih.gov/bioassay/1996#section=Data-Table
119,1300.0 mg/mL,1300.0,mg/mL,,,Human Metabolome Database (HMDB) | gamma-Aminobutyric acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000112
119,Slightly soluble in water; soluble in many non-polar solvents,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 4-Aminobutyric acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/1749/
119,Insoluble (in ethanol),,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 4-Aminobutyric acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/1749/
125,6700 mg/L @ 20 °C (exp),6700,mg/L,20°C,,Human Metabolome Database (HMDB) | 4-Hydroxybenzyl alcohol | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0011724
125,slightly soluble in water; soluble in organic solvents,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 4-Hydroxybenzyl alcohol | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/888/
125,soluble (in ethanol),,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 4-Hydroxybenzyl alcohol | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/888/
126,,,,,,"DrugBank | P-Hydroxybenzaldehyde | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB03560"
126,8.45 mg/mL at 25 °C,8.45,mg/mL,25°C,,Human Metabolome Database (HMDB) | 4-Hydroxybenzaldehyde | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0011718
126,slightly soluble in water; soluble in organic solvents,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 4-Hydroxybenzaldehyde | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/889/
126,freely soluble (in ethanol),,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 4-Hydroxybenzaldehyde | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/889/
127,60.7 mg/mL,60.7,mg/mL,,,Human Metabolome Database (HMDB) | p-Hydroxyphenylacetic acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000020
135,Solubility (in 100 g of solution): 99% ethanol 38.75 g (67 °C); n-butanol 19.5 g (32.5 °C),,,,,"Hazardous Substances Data Bank (HSDB) | 4-HYDROXYBENZOIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/7233"
135,"Soluble in about 125 parts water, freely in alcohol, slightly in chloroform; soluble in ether, acetone. Practically insoluble in carbon disulfide.",,,,,"Hazardous Substances Data Bank (HSDB) | 4-HYDROXYBENZOIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/7233"
135,"In water, 5000 mg/L at 25 °C",,,,,"Hazardous Substances Data Bank (HSDB) | 4-HYDROXYBENZOIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/7233"
135,5.0 mg/mL,5.0,mg/mL,,,Human Metabolome Database (HMDB) | 4-Hydroxybenzoic acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000500
135,slightly soluble in water; soluble in organic solvents,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 4-Hydroxybenzoic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/890/
