CID,StringWithMarkup,ExperimentalValue,Unit,Temperature,Conditions,FullReference
59,,,,,,"IUPAC Digitized pKa Dataset | propanoic acid, 3-hydroxy-2-phosphonooxy- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
66,pKa = 7.51,7.51,,,,"Hazardous Substances Data Bank (HSDB) | 2,5-DICHLOROPHENOL | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/4287"
66,,,,,,"IUPAC Digitized pKa Dataset | phenol, 2,5-dichloro- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
72,4.26 (at 25 °C),4.26,,25°C,,"DrugBank | 3,4-Dihydroxybenzoic Acid | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB03946"
72,,,,,,"IUPAC Digitized pKa Dataset | benzoic acid, 3,4-dihydroxy- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
79,pKa = 1.39 at 24 °C (conjugate acid),1.39,,24°C,,"Hazardous Substances Data Bank (HSDB) | 3-PYRIDINECARBONITRILE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/5335"
79,,,,,,"IUPAC Digitized pKa Dataset | pyridine, 3-cyano- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
79,,,,,,"IUPAC Digitized pKa Dataset | pyridine, 3-cyano- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
86,,,,,,"IUPAC Digitized pKa Dataset | 2-Aminobenzoic acid, 3-hydroxy- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
96,3.59 (at 0 °C),3.59,,0°C,,"DrugBank | Acetoacetic acid | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB01762"
96,,,,,,"IUPAC Digitized pKa Dataset | butanoic acid, 3-oxo- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
102,,,,,,"IUPAC Digitized pKa Dataset | phenol, 3-hydroxymethyl- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
107,4.66 (at 18 °C),4.66,,18°C,,"DrugBank | 3-phenylpropionic acid | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB02024"
107,,,,,,"IUPAC Digitized pKa Dataset | propanoic acid, 3-phenyl- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
119,10.6,10.6,,,,"ChEMBL | ChEMBL or ChEMBLdb is a manually curated chemical database of bioactive molecules with drug-like properties. It is maintained by the European Bioinformatics Institute (EBI), of the European Molecular ..."
119,,,,,,"IUPAC Digitized pKa Dataset | 4-Amino-n-butanoic acid | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
119,,,,,,"IUPAC Digitized pKa Dataset | 4-Amino-n-butyric acid | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
119,,,,,,"IUPAC Digitized pKa Dataset | 4-Amino-n-butyric acid | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
119,,,,,,"IUPAC Digitized pKa Dataset | butanoic acid, 4-amino- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
125,,,,,,"IUPAC Digitized pKa Dataset | phenol, 4-hydroxymethyl- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
126,7.61 (at 25 °C),7.61,,25°C,,"DrugBank | P-Hydroxybenzaldehyde | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB03560"
126,,,,,,"IUPAC Digitized pKa Dataset | benzaldehyde, 4-hydroxy- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
135,pKa = 4.54,4.54,,,,"Hazardous Substances Data Bank (HSDB) | 4-HYDROXYBENZOIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/7233"
135,K1=3.3X10-5; K2=4.8X10-10 at 19 °C,3.3e-5,,19°C,,"Hazardous Substances Data Bank (HSDB) | 4-HYDROXYBENZOIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/7233"
135,,,,,,"IUPAC Digitized pKa Dataset | benzoic acid, 4-hydroxy- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
135,,,,,,"IUPAC Digitized pKa Dataset | benzoic acid, 4-hydroxy- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
